genres,definition
Action,"Action film is a film genre in which the protagonist is thrust into a series of events that typically involve violence and physical feats. The genre tends to feature a mostly resourceful hero struggling against incredible odds, which include life-threatening situations, a dangerous villain, or a pursuit which usually concludes in victory for the hero."
Adventure,"The adventure genre consists of movies where the protagonist goes on an epic journey, either personally or geographically. Often the protagonist has a mission and faces many obstacles in his way."
Fantasy,"Fantasy is a genre of speculative fiction involving magical elements, typically set in a fictional universe and sometimes inspired by mythology and folklore. The term ""fantasy"" can also be used to describe a ""work of this genre"", usually literary."
Animation,"Animation is a method by which still figures are manipulated to appear as moving images. In traditional animation, images are drawn or painted by hand on transparent celluloid sheets to be photographed and exhibited on film. Today, many animations are made with computer-generated imagery."
Science Fiction,"Science fiction is a genre of speculative fiction, which typically deals with imaginative and futuristic concepts such as advanced science and technology, space exploration, time travel, parallel universes, and extraterrestrial life. Science fiction can trace its roots to ancient mythology."
Drama,"Drama film is a genre that relies on the emotional and relational development of realistic characters. While Drama film relies heavily on this kind of development, dramatic themes play a large role in the plot as well. Often, these dramatic themes are taken from intense, real life issues. Whether heroes or heroines are facing a conflict from the outside or a conflict within themselves, Drama film aims to tell an honest story of human struggles."
Thriller,"Thriller is a genre of fiction with numerous, often overlapping, subgenres, including crime, horror and detective fiction. Thrillers are characterized and defined by the moods they elicit, giving their audiences heightened feelings of suspense, excitement, surprise, anticipation and anxiety. This genre is well-suited to film and television."
Family,"Family film is a genre that is contains appropriate content for younger viewers. Family film aims to appeal not only to children, but to a wide range of ages. While the storyline may appeal to a younger audience, there are components of the film that are geared towards adults- such as witty jokes and humor. "
Comedy,"Comedy is a genre of film that uses humor as a driving force. The aim of a comedy film is to illicit laughter from the audience through entertaining stories and characters. Although the comedy film may take on some serious material, most have a happy ending. Comedy film has the tendency to become a hybrid sub-genre because humor can be incorporated into many other genres. Comedies are more likely than other films to fall back on the success and popularity of an individual star."
History,"A historical film is a fiction film showing past events or set within a historical period. This extensive genre shares territory with the biopic, costume drama, heritage film, and epic film."
War,"War film is a film genre concerned with warfare, typically about naval, air, or land battles, with combat scenes central to the drama. It has been strongly associated with the 20th century. The fateful nature of battle scenes means that war films often end with them."
Western,The Western film genre began with a series of single reel silent films by Edison Studios in 1894. The Great Train Robbery is considered to be the first Western film. Many films of the silent era were Westerns. The genre entered its golden age in 1940 and continued into the 1960s.
Romance,"Romance films, romance movies, or ship films involve romantic love stories recorded in visual media for broadcast in theatres or on television that focus on passion, emotion, and the affectionate romantic involvement of the main characters. Typically their journey through dating, courtship or marriage is featured."
Crime,"Crime films, in the broadest sense, is a film genre inspired by and analogous to the crime fiction literary genre. Films of this genre generally involve various aspects of crime and its detection."
Mystery,"A mystery film is a genre of film that revolves around the solution of a problem or a crime. It focuses on the efforts of the detective, private investigator or amateur sleuth to solve the mysterious circumstances of an issue by means of clues, investigation, and clever deduction."
Horror,"Horror is a film genre that seeks to elicit fear or disgust in its audience for entertainment purposes. Horror films often explore dark subject matter and may deal with transgressive topics or themes. Broad elements include monsters, apocalyptic events, and religious or folk beliefs. Cinematic techniques used in horror films have been shown to provoke psychological reactions in an audience."
Documentary,"A documentary film or documentary is a non-fictional motion-picture intended to ""document reality, primarily for the purposes of instruction, education or maintaining a historical record"". Bill Nichols has characterized the documentary in terms of ""a filmmaking practice, a cinematic tradition, and mode of audience reception that remains a practice without clear boundaries""."
Music,"Musical film is a film genre in which songs by the characters are interwoven into the narrative, sometimes accompanied by dancing. The songs usually advance the plot or develop the film's characters, but in some cases, they serve merely as breaks in the storyline, often as elaborate ""production numbers""."
TV Movie,"A television film, alternatively known as a television movie, made-for-TV film/movie, telemovie or TV film/movie, is a feature-length film that is produced and originally distributed by or to a television network, in contrast to theatrical films made for initial showing in movie theaters, and direct-to-video films made for initial release on home video formats. In certain cases, such films may also be referred to and shown as a miniseries, which typically indicates a film that has been divided into multiple parts or a series that contains a predetermined, limited number of episodes."
Foreign,"World cinema is a term in film theory that refers to films made outside of the American motion picture industry, particularly those in opposition to the aesthetics and values of commercial American cinema. The Third Cinema of Latin America and various national cinemas are commonly identified as part of world cinema. "
